,Population that can work from home,Total working population,Work from home populuation ratio,Population commutes using transit,All working population,Transit commuting population ratio,B,google_trend,# Unique users,# Total posts,pop,social_rate,car_pop,all_pop,car_ratio,average_commute_time,p55,p65,p75,p85,total_pop,pp55,pp65,pp75,pp85
 AC Transit ,502525,847170,0.593180826,116644,767292,0.152020352,-0.830179952,33,33,39,1643700,2.00767E-05,547295,767292,0.713281254,33,415473,89097,89097,28149,1643700,0.252766928,0.054205147,0.054205147,0.017125388
 ART ,2390559,4869658,0.490909013,294952,4749180,0.062105879,-0.662753205,38,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,2478262,564884,564884,180184,10098052,0.24541981,0.055939898,0.055939898,0.017843441
 Beach Cities Transit ,2390559,4869658,0.490909013,294952,4749180,0.062105879,-0.764783996,38,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,2478262,564884,564884,180184,10098052,0.24541981,0.055939898,0.055939898,0.017843441
 Bee-Line ,276626,479775,0.576574436,109470,468771,0.233525538,-0.641591512,36,117,284,968815,0.000120766,307592,468771,0.65616687,35,288165,74383,74383,26065,968815,0.297440688,0.0767773,0.0767773,0.026904001
 Big Blue Bus ,2390559,4869658,0.490909013,294952,4749180,0.062105879,-0.776411319,38,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,2478262,564884,564884,180184,10098052,0.24541981,0.055939898,0.055939898,0.017843441
 Brockton Area Transit ,247070,429529,0.575211453,139478,421256,0.331100329,-0.751676717,52,262,443,791766,0.000330906,199757,421256,0.474193839,31,172274,39448,39448,12268,791766,0.217581962,0.049822801,0.049822801,0.015494477
 Broward County Transit ,587519,1301540,0.451402953,68596,1280128,0.053585266,-0.511190249,37,443,829,2715516,0.000163137,1096674,1280128,0.856690893,32,749998,197088,197088,61497,2715516,0.276189866,0.072578471,0.072578471,0.022646525
 Capital Metro ,6159,13801,0.446272009,9,13594,0.000662057,-0.717160346,41,5,7,29565,0.000169119,12637,13594,0.929601295,30,9699,2151,2151,619,29565,0.328056824,0.072754947,0.072754947,0.020936919
 Capitol Corridor ,356357,686019,0.519456458,17800,671083,0.02652429,-0.804206225,33,64,77,1510023,4.23835E-05,587410,671083,0.875316466,27,385144,84299,84299,26680,1510023,0.255058367,0.055826302,0.055826302,0.017668605
 CARTA ,104549,200094,0.522499425,2818,198964,0.014163366,-0.638833218,49,7,7,394708,1.77346E-05,172011,198964,0.864533282,24,112414,23013,23013,7367,394708,0.284802943,0.05830386,0.05830386,0.01866443
 CDTA ,94840,159756,0.593655324,9925,156817,0.063290332,-0.797251823,64,9,11,307426,2.92753E-05,132053,156817,0.842083448,21,90006,21580,21580,7394,307426,0.292772895,0.070195754,0.070195754,0.024051316
 City of Seattle ,723559,1176560,0.614978412,157462,1153731,0.136480687,-0.862581831,32,108,156,2163257,4.99247E-05,826647,1153731,0.716498907,30,536610,110557,110557,37447,2163257,0.248056518,0.051106734,0.051106734,0.017310472
 Community Transit ,723559,1176560,0.614978412,157462,1153731,0.136480687,-0.847664702,32,108,156,2163257,4.99247E-05,826647,1153731,0.716498907,30,536610,110557,110557,37447,2163257,0.248056518,0.051106734,0.051106734,0.017310472
 COTA ,372845,665824,0.559975309,16088,651953,0.024676625,-0.59570079,47,177,290,1275333,0.000138787,580906,651953,0.891024353,22,290712,58296,58296,18383,1275333,0.227949877,0.045710414,0.045710414,0.014414275
 County Connection ,300402,547323,0.548856891,56845,532887,0.106673648,-0.769652429,33,13,16,1133247,1.14715E-05,422413,532887,0.792687756,38,317840,70245,70245,21680,1133247,0.280468424,0.061985604,0.061985604,0.019130869
 CTA ,1318752,2548996,0.517361345,487729,2498849,0.195181462,-0.791364579,48,771,1540,5223719,0.000147596,1734249,2498849,0.694019126,33,1360178,314768,314768,97001,5223719,0.260384986,0.060257453,0.060257453,0.018569337
 C-TRAN ,108122,221205,0.48878642,4961,216960,0.022865966,-0.728714491,34,50,92,465384,0.000107438,189870,216960,0.875138274,27,127556,25267,25267,7705,465384,0.274087635,0.054292799,0.054292799,0.01655622
 CTTransit Hartford ,249021,447893,0.555983237,14424,439172,0.032843624,-0.611344671,41,9,15,894730,1.00589E-05,393119,439172,0.895136757,23,269546,66644,66644,23560,894730,0.301259598,0.07448504,0.07448504,0.026331966
 CTTransit New Britain ,249021,447893,0.555983237,14424,439172,0.032843624,-0.693394376,41,9,15,894730,1.00589E-05,393119,439172,0.895136757,23,269546,66644,66644,23560,894730,0.301259598,0.07448504,0.07448504,0.026331966
 CTTransit New Haven ,230791,427791,0.539494753,18032,420437,0.042888709,-0.632848767,41,130,307,859339,0.000151279,363156,420437,0.863758423,25,260059,63374,63374,22629,859339,0.302626786,0.07374738,0.07374738,0.02633303
 CTTransit Stamford ,263716,475513,0.554592619,47752,466283,0.10240991,-0.659771828,36,25,30,944348,2.64733E-05,374632,466283,0.803443402,31,270973,65120,65120,21907,944348,0.28694189,0.06895763,0.06895763,0.023198016
 Culver CityBus ,2390559,4869658,0.490909013,294952,4749180,0.062105879,-0.792776841,38,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,2478262,564884,564884,180184,10098052,0.24541981,0.055939898,0.055939898,0.017843441
 DART ,595486,1282839,0.46419387,36150,1260913,0.028669702,-0.593462067,46,387,795,2586552,0.00014962,1128574,1260913,0.895045098,27,539896,103680,103680,29824,2586552,0.208731933,0.040084251,0.040084251,0.011530408
 DC Circulator ,265583,369194,0.719358928,130661,366168,0.356833475,-0.757762738,27,946,1845,684498,0.001382035,144993,366168,0.395973979,30,151629,34792,34792,10956,684498,0.221518544,0.05082849,0.05082849,0.01600589
 DDOT ,327635,734480,0.446077497,22458,718904,0.03123922,-0.559865196,46,45,66,1761382,2.55481E-05,648813,718904,0.902502977,25,493264,109473,109473,35049,1761382,0.280043738,0.062151765,0.062151765,0.01989858
 Fairfax Connector ,265583,369194,0.719358928,130661,366168,0.356833475,-0.597569197,27,946,1845,684498,0.001382035,144993,366168,0.395973979,30,151629,34792,34792,10956,684498,0.221518544,0.05082849,0.05082849,0.01600589
 Foothill Transit ,2390559,4869658,0.490909013,294952,4749180,0.062105879,-0.73336293,38,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,2478262,564884,564884,180184,10098052,0.24541981,0.055939898,0.055939898,0.017843441
 GCRTA ,310807,591135,0.525780067,27460,579631,0.047374968,-0.625018192,48,236,577,1253783,0.00018823,505891,579631,0.872781131,24,396716,99311,99311,33140,1253783,0.316415201,0.079209082,0.079209082,0.026432006
